code,film,revenue,budget,language,popularity,runtime,vote.average,vote.count,id,tagline,release.date,genres,certification,month_release,year_release,lustrum,log_popularity,log_revenue,time,name
80,Austin Powers: International Man of Mystery,67683989,16500000,en,15.857,94,6.5,1969,816,"If he were any cooler, he'd still be frozen, baby!",1997-May-02,"[35, 80, 878]",PG-13,May,1997,1995-2000,2.76361104320743,18.0303602106507,genre2,Crime
80,The Equalizer 2,102084362,62000000,en,19.282,122,6.5,2554,345887,There is no equal,2018-Jul-19,"[53, 28, 80]",R,July,2018,2015-2020,2.95917201824219,18.441310107839,genre3,Crime
80,Home Alone 4,,,en,7.887,89,4.3,645,12536,"",2003-Nov-26,"[35, 80, 10751]",PG,November,2003,2000-2005,2.06521583441585,-Inf,genre2,Crime
80,Operation Condor,,,cn,9.433,106,7.2,219,10975,"On his most dangerous mission ever, the world's toughest secret agent isn't going in alone.",1991-Feb-07,"[28, 12, 80, 53]",PG-13,February,1991,1990-1995,2.24421417966772,-Inf,genre3,Crime
80,The Sugarland Express,12800000,3000000,en,5.782,110,6.6,165,5121,Every cop in the state was after her. Everybody else was behind her.,1974-Apr-05,"[80, 18]",PG,April,1974,1970-1975,1.75474964359415,16.3649557288898,genre1,Crime
80,Kill Bill: Vol. 2,152159461,30000000,en,18.446,136,7.8,8730,393,The bride is back for the final cut,2004-Apr-16,"[28, 80, 53]",R,April,2004,2000-2005,2.91484754481353,18.8404396144312,genre2,Crime
80,The Girl with the Dragon Tattoo,109421911,13000000,sv,13.756,152,7.5,1797,15472,Based on the Worldwide Best Seller,2009-Feb-27,"[80, 18, 9648, 53]",R,February,2009,2005-2010,2.62147509257002,18.5107217112619,genre1,Crime
80,Fargo,60611975,7000000,en,14.749,98,7.9,4427,275,A lot can happen in the middle of nowhere.,1996-Mar-08,"[80, 18, 53]",R,March,1996,1995-2000,2.69117528387737,17.9200030387785,genre1,Crime
80,Austin Powers: The Spy Who Shagged Me,312016858,33000000,en,15.955,95,6.2,2030,817,"I'm back, baby!",1999-Jun-08,"[12, 35, 80, 878]",PG-13,June,1999,1995-2000,2.76977225973021,19.5585677763654,genre3,Crime
80,Memories of Murder,2.6e+07,2800000,ko,17.586,131,8.1,1296,11423,The worst of them will stay with you... forever,2003-May-02,"[80, 18, 53]",PG-13,May,2003,2000-2005,2.86710313095681,17.0736070959858,genre1,Crime
80,Nightcrawler,50300000,8500000,en,28.5,118,7.7,6667,242582,The city shines brightest at night,2014-Oct-23,"[80, 18, 53]",R,October,2014,2010-2015,3.34990408727461,17.73351563507,genre1,Crime
80,Den of Thieves,80509622,30000000,en,18.856,140,6.6,1511,449443,You're not the bad guys. We are.,2018-Jan-18,"[28, 80, 53]",R,January,2018,2015-2020,2.93683116563383,18.2038872631962,genre2,Crime
80,The Way of the Dragon,2.7e+07,130000,cn,10.193,100,7.4,500,9462,The Colosseum . . the battleground of Bruce Lee and Chuck Norris.,1972-Jun-01,"[28, 80]",R,June,1972,1970-1975,2.32170121018628,17.1113474239686,genre2,Crime
80,Get Carter,,1814462,en,6.462,112,7.1,220,1485,"",1971-Mar-03,"[80, 53]",R,March,1971,1970-1975,1.86593886740231,-Inf,genre1,Crime
80,The Equalizer,192330738,55000000,en,34.045,132,7.2,5582,156022,What do you see when you look at me?,2014-Sep-24,"[53, 28, 80]",R,September,2014,2010-2015,3.52768317893493,19.0747270417791,genre3,Crime
80,Chaos,10289,20000000,en,10.135,106,6.2,517,5289,When the system breaks down... someone is about to get rich.,2005-Jan-17,"[18, 28, 80]",R,January,2005,2005-2010,2.31599477990396,9.23883064237581,genre3,Crime
80,Basic,42792561,50000000,en,13.019,98,6.5,561,10782,Deception is their most deadly weapon.,2003-Apr-18,"[28, 80, 18, 9648, 53]",R,April,2003,2000-2005,2.56640982891526,17.5718748370344,genre2,Crime
80,The Girl with the Dragon Tattoo,232617430,90000000,en,12.764,158,7.3,4404,65754,Evil shall with evil be expelled.,2011-Dec-14,"[80, 18, 9648, 53]",R,December,2011,2010-2015,2.546628708416,19.2649057307529,genre1,Crime
80,Sherlock Holmes,524028679,90000000,en,13.625,129,7.2,9928,10528,Nothing escapes him.,2009-Dec-23,"[28, 12, 80, 9648]",PG-13,December,2009,2005-2010,2.61190634054931,20.0770569717037,genre3,Crime
80,Assassins,30303072,50000000,en,10.7,132,6.2,776,9691,"In the shadows of life, In the business of death, One man found a reason to live...",1995-Oct-06,"[28, 12, 80, 53]",R,October,1995,1995-2000,2.37024374146786,17.226759651479,genre3,Crime
80,The Dark Knight Rises,1081041287,250000000,en,26.638,165,7.7,15402,49026,The Legend Ends,2012-Jul-16,"[28, 80, 18, 53]",PG-13,July,2012,2010-2015,3.28233876777884,20.8011905682136,genre2,Crime
80,Police Academy 6: City Under Siege,11567217,,en,10.246,84,4.9,428,11895,The Grads are going undercover in the city to unmask the mastermind of crime.,1989-Mar-09,"[35, 80]",PG,March,1989,1985-1990,2.32688738551701,16.2636855343678,genre2,Crime
80,Punisher: War Zone,10089373,20500000,en,9.689,102,5.7,617,13056,Vengeance has a name,2008-Dec-05,"[28, 80]",R,December,2008,2005-2010,2.27099122140287,16.1269932496656,genre2,Crime
80,The Getaway,58831997,3352254,en,6.101,122,7.1,252,5916,It takes two to make it … The big two.,1972-Sep-20,"[28, 80, 53]",PG,September,1972,1970-1975,1.80845269216972,17.8901964315305,genre2,Crime
80,The Snowman,43203413,35000000,en,12.81,119,5.1,1402,372343,"Soon the first snow will come, and then he will kill again.",2017-Oct-12,"[80, 53]",R,October,2017,2015-2020,2.55022611590864,17.5814300547233,genre1,Crime
80,Dirty Harry,35976000,10000000,en,12.41,102,7.5,1207,984,Detective Harry Callahan. He doesn't break murder cases. He smashes them.,1971-Dec-21,"[28, 80, 53]",R,December,1971,1970-1975,2.51850259921652,17.3983626074327,genre2,Crime
80,Mean Streets,3e+06,500000,en,7.101,110,7.2,1051,203,You don't make up for your sins in church. You do it in the streets...,1973-Oct-02,"[80, 18]",R,October,1973,1970-1975,1.96023561919996,14.9141228466324,genre1,Crime
80,The Godfather,245066411,6000000,en,24.264,175,8.7,11521,238,An offer you can't refuse.,1972-Mar-14,"[80, 18]",R,March,1972,1970-1975,3.18899377038628,19.3170397970836,genre1,Crime
80,A Simple Plan,16316273,30000000,en,8.263,121,7.1,411,10223,Sometimes good people do evil things.,1998-Dec-11,"[80, 53]",R,December,1998,1995-2000,2.11178771771905,16.6076735113218,genre1,Crime
80,Game of Death,,10000000,cn,10.063,94,6.3,308,13333,Bruce Lee challenges the underworld to a Game of Death.,1978-Mar-23,"[28, 80, 18, 53]",R,March,1978,1975-1980,2.3088653309512,-Inf,genre2,Crime
80,The Mechanic,,,en,7.694,100,6.9,121,19403,He has 100 ways to kill... and they all work!,1972-Oct-06,"[28, 80, 53]",PG,October,1972,1970-1975,2.0404408043301,-Inf,genre2,Crime
80,K-9,78247647,17000000,en,7.858,101,5.8,478,10345,Meet the two toughest cops in town.  One's just a little smarter than the other!,1989-Apr-28,"[28, 35, 80]",PG-13,April,1989,1985-1990,2.06153212113627,18.1753893166449,genre3,Crime
80,Charlie's Angels,264105545,92000000,en,20.4,98,5.7,2647,4327,Get Some Action,2000-Nov-02,"[28, 12, 35, 80, 53]",PG-13,November,2000,2000-2005,3.01553490085017,19.3918593728819,genre4,Crime
80,Out of Sight,77745568,48000000,en,8.964,123,6.6,622,1389,Opposites attract.,1998-Jun-26,"[35, 80, 10749]",R,June,1998,1995-2000,2.19321655593868,18.1689521041834,genre2,Crime
80,The Town,154026136,37000000,en,11.198,125,7.2,2739,23168,Welcome to the bank robbery capital of America.,2010-Sep-15,"[80, 18, 53]",R,September,2010,2010-2015,2.4157351909267,18.8526328602638,genre1,Crime
